DATE,DAY,GAME TIME,BYH TEAM,GAME LOCATION,EVENT TYPE,OPPONENT,NOTES,CONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/12,SATURDAY,8:45 AM,BANTAM UPPER A,REISTERSTOWN,NON LEAGUE,HOWARD,,9/10/12 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/12,SATURDAY,3:45 PM,PEE WEE LOWER A,PINEY ORCHARD,NON LEAGUE,METRO,,9/14/12 - NELSON BURTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/12,SATURDAY,11:05 AM,U18 LOWER A,LAUREL,NON LEAGUE,TRI-CITY,,9/10/12 - NEIL SCHUMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/12,SUNDAY,12:00 PM,SQUIRT UPPER A,REISTERSTOWN,NON LEAGUE,HERSHEY,,9/14 - FRANK NEMSHICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,5:50 PM,PEE WEE B,COLUMBIA,NON LEAGUE,HOWARD,,9/17/15 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,4:15 PM,SQUIRT B,COLUMBIA,NON LEAGUE,HOWARD,,9/17/15 - BUD BUONATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,1:00 PM,SQUIRT UPPER A,GIANT CENTER,NON-LEAGUE,HERSHEY,,9/17/12 - FRANK NEMSHICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/12,SATURDAY,12:55 PM,BANTAM UPPER A,RESTON,NON-LEAGUE,RESTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/12,SUNDAY,10:15 AM,PEE WEE LOWER A,REISTERSTOWN,NON LEAGUE,HARFORD,PEE WEE UPPER A,9/17/12 - MIKE VAN DELOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/12,SUNDAY,12:00 PM,U18 LOWER A,REISTERSTOWN,NON LEAGUE,FREDERICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/12,SATURDAY,9:55 AM,PEE WEE LOWER A,NAVAL ACADEMY - MC MULLEN,LEAGUE,NAVY,NO U18,9/24/12 - GREG SCHROEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
