Home Team,Visitor Team,Start Date (YYYY-MM-DD),Start Time (HH:MM AA),Duration (minutes),Details,Show Details,League Name,Schedule Name,Venue
Bantam Travel A,Howard,09.15.2012,8:45 AM,90,Non-League,Non-League,Non-League,Non-League,Reisterstown
Tri City,Bantam Travel A,09.29.2012,12:40 PM,90,Non-League,Non-League,Non-League,Non-League,Laurel
Navy,Bantam Travel A,10.06.2012,9:55 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Naval Academy - Mc Mullen
Bantam Travel A,Tri City,10.07.2012,9:45 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Reisterstown
Bantam Travel A,Lancaster Fire Birds,10.14.2012,1:15 PM,90,Non-League,Non-League,Non-League,Non-League,Reisterstown
Bantam Travel A,Frederick,10.20.2012,11:00 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Reisterstown
Montgomery,Bantam Travel A,10.21.2012,2:55 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Cabin John
Ashburn,Bantam Travel A,11.03.2012,8:50 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Ashburn
Bantam Travel A,Tri City,11.10.2012,10:45 AM,90,Non-League,Non-League,Non-League,Non-League,Mt Pleasant
Bantam Travel A,Easton,11.11.2012,1:15 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Reisterstown
Bantam Travel A,Howard,11.18.2012,11:30 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Reisterstown
Frederick,Bantam Travel A,12.01.2012,2:30 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Skate Frederick
Bantam Travel A,Richmond,12.02.2012,1:15 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Reisterstown
Hampton Roads,Bantam Travel A,12.08.2012,2:50 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Chilled Ponds
Richmond,Bantam Travel A,12.09.2012,11:20 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Skate Nation
Bantam Travel A,Reston,12.15.2012,5:10 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Mt Pleasant
Bantam Travel A,Navy,12.22.2012,5:10 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Mt Pleasant
Tri City,Bantam Travel A,01.05.2013,5:30 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Laurel
Bantam Travel A,Nova,01.13.2013,3:45 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Mt Vernon
Bantam Travel A,Chester County,01.19.2013,10:45 AM,90,Non-League,Non-League,Non-League,Non-League,Mt Pleasant
Bantam Travel A,Montgomery,01.20.2013,1:15 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Reisterstown
Bantam Travel A,Ashburn,01.26.2013,10:45 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Mt Pleasant
Bantam Travel A,Hampton Roads,01.27.2013,9:00 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Mt Pleasant
Reston,Bantam Travel A,02.02.2013,11:25 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Reston - Olympic
Howard,Bantam Travel A,02.03.2013,12:20 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Laurel
Bantam Travel A,Nova,02.09.2013,10:45 AM,90,Regular Season,Regular Season,Regular Season,Regular Season,Mt Pleasant
Easton,Bantam Travel A,02.23.2013,6:15 PM,90,Regular Season,Regular Season,Regular Season,Regular Season,Talbot Community Center
